Block,Gram Panchayat,Village,Beneficiary_Count
Bisoi,Baneikala,Kuliposi,15
Bisoi,Baneikala,Patharkata,9
Bisoi,Baneikala,Patijhari,28
Bisoi,Bautibeda,Asanbani,13
Bisoi,Bautibeda,Chatani,3
Bisoi,Bautibeda,Mangalpur,3
Bisoi,Bautibeda,Nuadihi,3
Bisoi,Bautibeda,Osadola,6
Bisoi,Bautibeda,Oshadala,18
Bisoi,Bautibeda,Oshadola,19
Bisoi,Bautibeda,Patijhari,8
Bisoi,Bautibeda,Purna balichua,1
Bisoi,Bautibeda,Puruna balichua,44
Bisoi,Bautibeda,puruna balichua,3
Bisoi,"Bautibeda
Bautibeda",Puruna balichua,2
Bisoi,Bisoi,Asansikhar,24
Bisoi,Bisoi,Bisoi Hil,31
Bisoi,Bisoi,Ektali,26
Bisoi,Bisoi,Ghoda bandha,15
Bisoi,Bisoi,Ghodabindha,15
Bisoi,Bisoi,Jodia,45
Bisoi,Bisoi,NB Pokharia,20
Bisoi,Bisoi,Sagjodi,24
Bisoi,Bisoi,sagjodi,6
Bisoi,Jaganathpur,Bhurdukala,3
Bisoi,Jaganathpur,Sargada,5
Bisoi,Jaganathpur,Sarupani,9
Bisoi,Jaganathpur,Tiakati,5
Bisoi,Jagarnathpur,Badajodi,8
Bisoi,Kaduani,Kaduani,4
Bisoi,Khadambeda,Agalbindha,1
Bisoi,Khadambeda,Argalbindga,2
Bisoi,Khadambeda,Argalbindha,49
Bisoi,Khadambeda,Badhunia,37
Bisoi,Khadambeda,Chuakankar,65
Bisoi,Khadambeda,Dantuni,20
Bisoi,Khadambeda,Deopata,5
Bisoi,Khadambeda,Duarsuni,38
Bisoi,Khadambeda,Dudhkundi,20
Bisoi,Khadambeda,Dundhkundi,9
Bisoi,Khadambeda,Dwarsuni,1
Bisoi,Khadambeda,Hatichad,1
Bisoi,Khadambeda,Khadambeda,43
Bisoi,Khadambeda,Kitabeda,27
Bisoi,Khadambeda,Musamari,10
Bisoi,Khadambeda,Pundida,3
Bisoi,Khadambeda,Rajabasa,33
Bisoi,Khadambeda,Sanbalichua,7
Bisoi,Khadambeda,Tarana,27
Bisoi,Khadambeda,argalbindha,1
Bisoi,Khadambeda,keshargadia,10
Bisoi,Khadambeda,kitabeda,28
Bisoi,Khadambeda,pundida,36
Bisoi,"Khadambeda
Khadambeda",Chuakankar,8
Bisoi,Luhakani,Fhuljhara,1
Bisoi,Luhakani,Fulhjara,5
Bisoi,Luhakani,Fuljhara,14
Bisoi,Luhakani,Gargadi,27
Bisoi,Luhakani,Jamirdiha,15
Bisoi,Luhakani,Jederghutu,9
Bisoi,Luhakani,Karanjei,1
Bisoi,Luhakani,Kuajhari,5
Bisoi,Luhakani,Kundra,14
Bisoi,Luhakani,Laxmiposi,8
Bisoi,Luhakani,Luhamalia,23
Bisoi,Luhakani,Manicha,3
Bisoi,"Luhakani
Luhakani",Gargadi,2
Bisoi,"Luhakani
Luhakani",Laxmiposi,4
Bisoi,Manada,Radhanagar,15
Bisoi,Nuagan,Tambalbandh,7
Bisoi,Nuagaon,Badanalua,5
Bisoi,Nuagaon,Banakati,34
Bisoi,Nuagaon,Bhagiatangara,2
Bisoi,Nuagaon,Dhalabeda,6
Bisoi,Nuagaon,Dhangidimuta,12
Bisoi,Nuagaon,Dumurdiha,12
Bisoi,Nuagaon,Kurkutia,6
Bisoi,Nuagaon,Mayurbeka,6
Bisoi,Nuagaon,Nuagaon,13
Bisoi,Nuagaon,Sanajambhila,13
Bisoi,Nuagaon,Sananalua,4
Bisoi,Nuagaon,Tambalabandha,16
Bisoi,Nuagaon,Teleighutu,39
Bisoi,San Purunapani,Charupani,14
Bisoi,San Purunapani,Rangamatia,3
Bisoi,San Purunapani,San Purunapani,8
Bisoi,San Purunapani,charupani,3
Bisoi,Sanpurnapani,Burudihi,1
Bisoi,Sanpurnapani,Charupani,3
Bisoi,Sanpurnapani,Kalimati,12
Bisoi,Sanpurnapani,Karanjharan,4
Bisoi,Sanpurnapani,Sanpurnapani,1
Bisoi,Sanpurunapani,Alhapani,6
Bisoi,Sanpurunapani,Brahamanposi,16
Bisoi,khadambeda,Argalbindha,1
Block,Gram Panchayat,Vilage,16
"Block
-do-","Gram Panchayat
-do-","Vilage
-do-",85
"Block
Bijatala","Gram Panchayat
Badjharan","Vilage
Gopinathpur",2
"Block
Bijatala","Gram Panchayat
Khanta","Vilage
Champauda",2
"Block
Bijatala","Gram Panchayat
Khanta","Vilage
Nushadihi",2
"Block
Bijatala","Gram Panchayat
Khanta","Vilage
Pithakutuni",2
"Block
Bijatala","Gram Panchayat
Raihari","Vilage
Tulsibani",2
"Block
Bisoi","Gram Panchayat
Bad Manada","Vilage
Hatichad",2
"Block
Bisoi","Gram Panchayat
Khadambeda","Vilage
Khadambeda",2
"Block
Do","Gram Panchayat
Do",Asanbani,6
"Block
Do","Gram Panchayat
Do","Vilage
Asanbani",2
"Block
Do","Gram Panchayat
Do","Vilage
Badnai",2
"Block
Karanjia","Gram Panchayat
Kuliposi","Vilage
Cheliaposi",2
"Block
Kuliana","Gram Panchayat
Gendapokhari","Vilage
Baidikotha",1
"Block
RAIRANGPUR","Gram Panchayat
GUHALDUNGURI","Vilage
KALARABANI",2
Bosoi,Asana,Raikadkacha,4
Bosoi,Baneikala,Gunduria,2
G.B Nagar,Bhandagan,Anantasahi,30
G.B Nagar,Bhandagan,Bhandagan,1
G.B Nagar,Bhandagan,Ghantasila,18
G.B Nagar,Kushalda,Mahuldihi,7
G.B Nagar,Kushalda,Mundhakati,37
G.B Nagar,Kushalda,Taradasole,4
G.B Nagar,Ranibandh,Nuapada,14
G.B Nagar,Ranibandh,Subudasahi,7
G.B Nagar,Ranibandh,Tikarapada,15
G.B. Nagar,Bhandagan,Ghantasila,10
G.B. Nagar,Bhandagan,Jamsola,6
G.B. Nagar,Bhandagan,Sinduria,5
G.B. Nagar,G.B. Nagar,Parichipur,4
G.B. Nagar,Jaypur,Marsigan,6
G.B. Nagar,Kuamara,Chilima,4
G.B. Nagar,Kuamara,Sikidia,3
G.B. Nagar,Kushalada,Mundakati,20
G.B. Nagar,Kushalda,Mundakati,10
G.B. Nagar,Puruna Baripada,Puruna Baripada,3
G.B. Nagar,Sainkula,Kaliapada,9
G.B. Nagar,San Khunta,Bad Dangua,10
G.B. Nagar,Sankhunta,Bad Dangua,4
G.B. Nagar,Silaghaty,Kenduamundi,6
G.B. Nagar,Silaghaty,Sialia,7
G.B.Nagar,Kushalda,Banakati,34
G.B.Nagar,Kushalda,Padmapur,3
G.B.Nagar,Ranibandh,Sialia ‘A’,21
GB Nagar,Baradihi,Daripal,10
GB Nagar,Baradihi,Debagan,13
GB Nagar,Baradihi,Goda,9
GB Nagar,Jaypur,Dambarudihi,34
GB Nagar,Kuamara,Patua,4
GB Nagar,Kuamara,Uperkadada,5
GB Nagar,Kushalda,Banakati,30
GB Nagar,Kushalda,Lahara,8
GB Nagar,Kushalda,Padmapur,32
GB Nagar,Kushalda,Pathurikata,8
GB Nagar,Pasuda,Badabelakuti,6
GB Nagar,Pasuda,Ghagara,12
GB Nagar,Pasuda,Mahulia,12
GB Nagar,Pasuda,Muturda,5
GB Nagar,Pasuda,Sanabelakuti,9
GB Nagar,Ranibandh,Chadada,2
GB Nagar,Ranibandh,Megha,1
GB Nagar,Ranibandh,Sialia(A),65
GB Nagar,Ranibandha,Sialia-A,2
GB Nagar,Sainkula,Khuntadahi,1
GB Nagar,Sanakhunta,Balidiha,21
GB Nagar,Silaghati,Sialia-B,13
GB Nagar,Silaghati,Silaghati,23
GB Nagar,Titia,Palasa,6
GB Nagar,Titia,Tangana,2
GB Nagar,Titia,Titia,7
Jamda,Bad-Dundu,Chapda,14
Jamda,Bad-Dundu,Kalapani,4
Jamda,Bad-Dundu,Moranda,10
Jamda,Bad-Dundu,Tingiria,9
Jamda,Badundu,Dalki,4
Jamda,Badundu,Dumar,1
Jamda,Badundu,Maranda,2
Jamda,Badundu,Moranda,10
Jamda,Badundu,Redam,3
Jamda,Badundu,Sandundu,2
Jamda,Hensda,Basantpur,12
Jamda,Hensda,Chandikhaman,38
Jamda,Hensda,Chitritangar,7
Jamda,Hensda,Khaeirpal,13
Jamda,Hensda,Khediadungri,32
Jamda,Hensda,Kucheipal,20
Jamda,Hensda,Matiali,70
Jamda,Hensda,Sunamara,15
Jamda,Jamda,Baghia,1
Jamda,Jamda,Belposi,16
Jamda,Jamda,Rumapahadi,9
Jamda,Jarkani,Bambod,10
Jamda,Jarkani,Daunda,3
Jamda,Jarkani,Natwar,18
Jamda,Jarkani,Olidihi,4
Jamda,Jarkani,Pitidhiri,6
Jamda,Kankha,Kankha,2
Jamda,Pasana,Badkuleibira,2
Jamda,Pasana,Bandudma,22
Jamda,Pasana,Bhagabeda,8
Jamda,Pasana,Guduta,22
Jamda,Pasana,Pasana,2
Jamda,Pasna,Banduduma,1
Jamda,Pasna,Ghumal,2
Jamda,Pasna,Harilabeda,22
Jamda,Pasna,Heselpata,14
Jamda,Pasna,Pasna,4
Jamda,Pasna,Rangamatia,4
Jamda,Talagaon,Kandsore,2
Jamda,Talagaon,Kankhan,2
Jamda,Talagaon,Laxmiposi,5
Jamda,Talagaon,Mahiskudar,3
Jamda,Talagaon,Talagaon,6
Jamda,Talgan,Kankha,1
Jamda,Talgan,Laxmiposi,11
Jamda,Talgan,Mohiskudar,10
Jamda,Talgan,Radhanagar,2
Jamda,Talgaon,Badamtalia,3
Jamda,Talgaon,Dumadihi,22
Jamda,Talgaon,Kandsor,3
Jamda,Talgaon,Laxmiposi,42
Jamda,Talgaon,Mohiskudar,17
Jamda,Talgaon,Mugudi,3
Jamda,Talgaon,Radhanagar,25
Jamda,Talgaon,kankha,4
Jamda,Tarana,Baghia,4
Jamda,Tarana,Bhadusahi,11
Jamda,Tarana,Dighiabeda,9
Jamda,Tarana,Manbir,5
Jamda,Tarana,Pahadpur,18
Jamda,Tarana,Tarana,7
Jamda,Tendra,Amlabeda,1
Jamda,Tendra,Tendra Hil,13
Jamda,Tendra,Tendra Hill,1
Jamda,Tendra,Tendrahil,14
Jashipur,Astakuanr,Balarampur,10
Jashipur,Astakuanr,Gad similipal,18
Jashipur,Astakuanr,Gadsimilipal,40
Jashipur,Astakumar,Balarampur,15
Jashipur,Astakumar,Gopinathpur,22
Jashipur,Astakumar,Kukurbhuka,30
Jashipur,Astakumar,Nawana,34
Jashipur,Astakumar,Nikhirda,2
Jashipur,Astakumar,Saruda,44
Jashipur,Astakunr,Budhabalanga,35
Jashipur,Barehipani,Ashanbani,15
Jashipur,Barehipani,Bad Ashoki,36
Jashipur,Barehipani,Bandirabasa,40
Jashipur,Barehipani,Barehipani,12
Jashipur,Barehipani,Barsia,24
Jashipur,Barehipani,Chakundakacha,3
Jashipur,Barehipani,Kuljhari,3
Jashipur,Barehipani,Nuniagad,1
Jashipur,Barehipani,Nunian Goda,23
Jashipur,Barehipani,Routala,23
Jashipur,Baunsanali,Baunsanali,22
Jashipur,Baunsanali,Genteisahi,75
Jashipur,Baunsanali,Ramsahi,43
Jashipur,Baunsanali,Tangursahi,47
Jashipur,Baunsanli,Mandam,32
Jashipur,Baunsnali,Badpahad,43
Jashipur,Baunsnali,Bandiraposi,66
Jashipur,Baunsnali,Baunsnali,66
Jashipur,Baunsnali,Genteisahi,48
Jashipur,Baunsnali,Mandam,27
Jashipur,Baunsnali,Pahadpur,12
Jashipur,Baunsnali,Ramsahi,12
Jashipur,Baunsnali,Tangurusahi,21
Jashipur,Begunia,Badbil,1
Jashipur,Begunia,Begunia,22
Jashipur,Begunia,Chainebda,4
Jashipur,Begunia,Jamda,70
Jashipur,Begunia,Kudarbisida,32
Jashipur,Begunia,Nebda,8
Jashipur,Chahidi,Batpandgandi,44
Jashipur,Chakidi,Ambatalia,26
Jashipur,Chakidi,Asura,6
Jashipur,Chakidi,Bada moranda,41
Jashipur,Chakidi,Badaduma,10
Jashipur,Chakidi,Baduma,11
Jashipur,Chakidi,Baliaban,11
Jashipur,Chakidi,Banapundugandi,5
Jashipur,Chakidi,Chakidi,15
Jashipur,Chakidi,Chemudia,8
Jashipur,Chakidi,Dalkibeda,3
Jashipur,Chakidi,Gandarabeda,112
Jashipur,Chakidi,Gondirabeda,4
Jashipur,Chakidi,Maharajpur hil,5
Jashipur,Chakidi,Naubudhani,7
Jashipur,Chakidi,Nuhamalia,39
Jashipur,Chakidi,Siltia,22
Jashipur,Chakidi,Sinduria,19
Jashipur,Chakidi,Uski,16
Jashipur,Dhalabani,Chardipahadi,39
Jashipur,Dhalabani,Dhalabani,54
Jashipur,Dhalabani,Thakurgoda,22
Jashipur,Dholabani,Alakudar,44
Jashipur,Dholabani,Badsol,55
Jashipur,Dholabani,Baranga,4
Jashipur,Dholabani,Kaliani,50
Jashipur,Dholabani,Kalikaprasad,42
Jashipur,Dholabani,Sapachira,3
Jashipur,Dholabani,Suanpal,63
Jashipur,Dholabani,Tamaksila,21
Jashipur,Dholabani,Thakurgoda,21
Jashipur,Dholabani,Utaransa,104
Jashipur,Dholabani,Uttaransa,1
Jashipur,Do`,Sanmaranda,14
Jashipur,Durdura,Badsialinae,12
Jashipur,Durdura,Badsialnai,24
Jashipur,Durdura,Begunia,104
Jashipur,Durdura,Cheligodhuli,3
Jashipur,Durdura,Cheligudhuli,8
Jashipur,Durdura,Durdura,78
Jashipur,Durdura,Handipuhan,33
Jashipur,Durdura,Kadalibadi Hil,15
Jashipur,Durdura,Kadalibadi Hill,1
Jashipur,Durdura,Sansialinai,79
Jashipur,Durdura,Sansialini,1
Jashipur,Ektali,Bakala,173
Jashipur,Ektali,Baragadia,24
Jashipur,Ektali,Bargadia,3
Jashipur,Ektali,Basantpur,54
Jashipur,Ektali,Dhuduku,56
Jashipur,Ektali,Ektali,30
Jashipur,Ektali,Kaleitumba,113
Jashipur,Ektali,Kanchikna,6
Jashipur,Ektali,Kanthikna,36
Jashipur,Ektali,Kumudabadi,51
Jashipur,Ektali,Nangalsila,46
Jashipur,Gudgudia,Khejuri,30
Jashipur,Gudugudia,Gudugudia,77
Jashipur,Gudugudia,Khejuri,14
Jashipur,Gudugudia,Lanjighosora,13
Jashipur,Gurgudia,Badkasira,28
Jashipur,Gurgudia,Bakua,2
Jashipur,Gurgudia,Bharadachua,3
Jashipur,Gurgudia,Chandikhaman,3
Jashipur,Gurgudia,KABATGHAI,5
Jashipur,Gurgudia,KHEJURIA,13
Jashipur,Gurgudia,Kandibil,31
Jashipur,Gurgudia,Kediadunguri,7
Jashipur,Gurgudia,Kuanribil,25
Jashipur,Gurgudia,Saharpat,25
Jashipur,Gurgudia,Sankasira,27
Jashipur,Jamukeswar,Ambadiha,4
Jashipur,Jamukeswar,Champabalda,2
Jashipur,Jamukeswar,Dhulia,5
Jashipur,Jamukeswar,Jamukeswar,1
Jashipur,Jamukeswar,Kumbharpandugundi,1
Jashipur,Jamukeswar,Laxmiposi,1
Jashipur,Jamukeswar,Pasana Sahi,3
Jashipur,Jamukeswar,Rahanda,14
Jashipur,Jamukeswar,Sanmaranda,1
Jashipur,Jamukeswar,balda,1
Jashipur,Jashipur,Jashipur,4
Jashipur,Mahardapalasa,Dakarbeda,2
Jashipur,Mahardapalasa,Machkandana,16
Jashipur,Mahardapalasa,Mahardapalasa,4
Jashipur,Manada,Aktapal,27
Jashipur,Manada,Biunria,53
Jashipur,Manada,Dhatikia,20
Jashipur,Manada,Naona,36
Jashipur,Manada,Nawana,2
Jashipur,Manada,Nowana,41
Jashipur,Manada,Tikarpada,11
Jashipur,Matiagarh,( Podagarh G.S),12
Jashipur,Matiagarh,(Ghaniaposi GS),24
Jashipur,Matiagarh,(Tilabadi G.S),2
Jashipur,Matiagarh,Asanbani,26
Jashipur,Matiagarh,Ghaniaposi,2
Jashipur,Matiagarh,Kaliani,12
Jashipur,Matiagarh,Kankadani,86
Jashipur,Matiagarh,Kapand,126
Jashipur,Matiagarh,Kaptira,30
Jashipur,Matiagarh,Matiagarh,8
Jashipur,Matiagarh,Podagad,3
Jashipur,Matiagarh,Tilabadi,74
Jashipur,Matiagrah,Kankadani,1
Jashipur,Maudi,(San Junposi) polisabha,18
Jashipur,Maudi,Biunria,18
Jashipur,Maudi,Itamundi,28
Jashipur,Maudi,San Junposi,12
Jashipur,Moudi,Itamundi,18
Jashipur,Padagarh,Tulasibani,31
Jashipur,Pantho,Bakartala,2
Jashipur,Pantho,Kenjhera,12
Jashipur,Pantho,Pantho,8
Jashipur,Podagarh,Bhadusol,9
Jashipur,Podagarh,Kashipal,40
Jashipur,Podagarh,Madanmohanpur,25
Jashipur,Podagarh,Palagoda,29
Jashipur,Podagarh,Podagarh,40
Jashipur,Rugudi,Badposi,31
Jashipur,Rugudi,Chaturisahi,16
Jashipur,Rugudi,Jaunriposi,30
Jashipur,Rugudi,Kadadhia,94
Jashipur,Rugudi,KaluaKhaman,64
Jashipur,Rugudi,Khandabandh,82
Jashipur,Rugudi,Khandabandha,1
Jashipur,Rugudi,Palasagadia,26
Jashipur,Rugudi,Rugudi,96
Jashipur,Rugudi,Siramanipur,65
Jashipur,Tangabila,Badbil,9
Jashipur,Tangabila,Badnai,39
Jashipur,Tangabila,Dhemananali,40
Jashipur,Tangabila,Kenjhera,34
Jashipur,Tangabila,Panposi,34
Jashipur,Tangabila,Sanai,18
Jashipur,Tangabila,Sunamuhin,54
Jashipur,Tangabila,Tangabila,28
Jashipur,Tangabilla,Badbil,1
Jashipur,`do,Champabalda,7
Jasipur,Rugudi,KaluaKhaman,1
KARANJIA,Dudhiani,Purunapani,1
KARANJIA,Dudhiani,Ranibhol,2
KARANJIA,Dudhiani,Sanramchandrapur,3
KARANJIA,Miriginandi,Hatibari,21
Kaptiada,Sarat,Kadabahali,12
Kaptipada,Badabisole,Sanbisole,24
Kaptipada,Badajhad,Kaptipada,25
Kaptipada,Badakhaladi,Sundhal,18
Kaptipada,Badbisole,Bhalubasa,61
Kaptipada,Badbisole,Saguniabasa,88
Kaptipada,Badgudgudia,Badbadi,6
Kaptipada,Badgudgudia,Sanagudugudia,20
Kaptipada,Chakradhar Pur,Chakradhar Pur,36
Kaptipada,Chakradharapur,Sadanandapur,75
Kaptipada,Chakradharapur,Sanjunpal,18
Kaptipada,Chakradharpur,Sadananda Pur,43
Kaptipada,Chakradharpur,Sadanandapur,15
Kaptipada,Debala,Badjhad,14
Kaptipada,Debala,Debala,50
Kaptipada,Debala,Hil No-160,60
Kaptipada,Debala,Hil No-161,11
Kaptipada,Debanbahali,Debanbahali,21
Kaptipada,Debla,Badajhad,25
Kaptipada,Dewanbahali,Bisungan,1
Kaptipada,Dewanbahali,Shirapal,59
Kaptipada,Dewanbahali,Siriapal,13
Kaptipada,J.S Jamudiha,Hil Block-171,54
Kaptipada,J.S Jamudiha,Hill Block-171,1
Kaptipada,J.S Jamudiha,Podadiha,11
Kaptipada,J.S. Jamadiha,Nuhamalia,20
Kaptipada,J.S. Jamdiha,Hil Block-24,1
Kaptipada,J.S. Jamudiha,Badjunpal,6
Kaptipada,J.S. Jamudiha,Bhandaripal,59
Kaptipada,J.S. Jamudiha,Hil Block-173,41
Kaptipada,J.S. Jamudiha,Hill Block-173,4
Kaptipada,J.S. Jamudiha,Kantagadi,17
Kaptipada,J.S. Jamudiha,Kantiali,12
Kaptipada,J.S. Jamudiha,Talapadia,68
Kaptipada,Jadida,Badasimulia,50
Kaptipada,Jadida,Mahisasuri,13
Kaptipada,Jadida,Nedam,76
Kaptipada,Jadida,Raikalia,54
Kaptipada,Jambani,Sudusudia,72
Kaptipada,Jhinkpada,Goudagan,35
Kaptipada,Jodida,Nedam,73
Kaptipada,Kalamgadia,Balichua,72
Kaptipada,Kalamgadia,Gokulpur,62
Kaptipada,Kalamgadia,Kalamgadia,109
Kaptipada,Kalamgadia,Kathachua,100
Kaptipada,Kalamgadia,Sukhuapata Hil,123
Kaptipada,Kalamgadia,Sukhuapata Hill,3
Kaptipada,Kaptipada,Beldiha,30
Kaptipada,Kaptipada,Bhagabandh,92
Kaptipada,Kaptipada,Bhangabandh,24
Kaptipada,Kaptipada,Kaladahi,25
Kaptipada,Kaptipada,Kaladihi,17
Kaptipada,Kolialam,Kadamsole,7
Kaptipada,Kolialam,Nachipur,21
Kaptipada,Koliolam,Kodambsole,38
Kaptipada,Labanyadeipur,Gaipanikhia,4
Kaptipada,Labanyadeipur,Gaipanikhia-Hil,21
Kaptipada,Labanyadeipur,Hil Block-24 Sanadei,6
Kaptipada,Labanyadeipur,Katuria,8
Kaptipada,Labanyadeipur,Labanyadeipur,7
Kaptipada,Labanyadeipur,Sanadei,48
Kaptipada,Majhigadia,Baladamara,44
Kaptipada,Majhigadia,Dangarsahi,70
Kaptipada,Majhigadia,Mahulapankha,176
Kaptipada,Majhigadia,Majhigadia,37
Kaptipada,Majhigadia,Raidiha,75
Kaptipada,Majhigadia,Raikalchua,74
Kaptipada,Mankadapada,Khadikhania,23
Kaptipada,Mankadapada,Kunarapur,5
Kaptipada,Mankadapada,Mankadapada Hil,246
Kaptipada,Mankadapada,Mankadapada Hill,13
Kaptipada,Mankadapada,Palasabani,1
Kaptipada,Mankadpada,Khadikhania,29
Kaptipada,Mankadpada,Mankadpada,9
Kaptipada,Mankadpada,Mankadpada (Jadabani),15
Kaptipada,Nato,Baghadafa,46
Kaptipada,Noto,Baghadafa,15
Kaptipada,Noto,Baghadapha,11
Kaptipada,Noto,Kumudabahali,52
Kaptipada,Noto,Noto,35
Kaptipada,Noto,Prasana Chandrapur,59
Kaptipada,Noto,Prashna ch. Pur,20
Kaptipada,Notto,Baghadafa,1
Kaptipada,Nudadiha,Hil Block 172 (Uthansahi),20
Kaptipada,Nudadiha,Nuagan,76
Kaptipada,Nududiha,Kukurdima,5
Kaptipada,Padmapokhari,Dhapada,142
Kaptipada,Pedagadi,Astapura,5
Kaptipada,Pedagadi,Ghipura,3
Kaptipada,Pedagadi,Gothapura,23
Kaptipada,Pedagadi,Jarada,1
Kaptipada,Pedagadi,Karapada,3
Kaptipada,Pedagadi,Mahulabani,8
Kaptipada,Pingu,Ashanabani,54
Kaptipada,Pingu,Chainposi,43
Kaptipada,Pingu,Chuinposi,40
Kaptipada,Pingu,Gadiapal,77
Kaptipada,Pingu,Pingu,21
Kaptipada,Ram Ch. Pur,Dolipada,61
Kaptipada,Ram Ch. Pur,Ram Ch. Pur,35
Kaptipada,Ramachandrapur,Talagadia,150
Kaptipada,Ramchandrapur,R.C. Pur,1
Kaptipada,Ramchandrapur,Ramchandrapur,55
Kaptipada,Ranipokhari,Dilisore,11
Kaptipada,Ranipokhari,Kaptipada,22
Kaptipada,Ranipokhari,Rajatnagar,214
Kaptipada,Ranipokhari,Ranipokhari,57
Kaptipada,Rnipokhari,Diliswar,34
Kaptipada,Salachua,Bidyadharanagar,116
Kaptipada,Salachua,Gendagadia,37
Kaptipada,Salachua,Salachua,265
Kaptipada,Salachua,Salagadia,39
Kaptipada,Salchua,Salchua,21
Kaptipada,Salchua,Solagadia,38
Kaptipada,Saradiha,Bhandar,31
Kaptipada,Saradiha,Saradiha,94
Kaptipada,Saradiha,Sukhuapata,127
Kaptipada,Sarat,Gourachandrapur,182
Kaptipada,Sarat,Kadabahali,66
Kaptipada,Sarat,Kaptipada,79
Kaptipada,Sarat,Sarat,181
Kaptipada,Sardiha,Bhandar,97
Kaptipada (Canceled),Labanyadeipur,Gaipanikhia-Hil,1
Kaptipada (Canceled),Rnipokhari,Diliswar,1
Kaptipada(Canceled),Labanyadeipur,Sanadei,1
Kaptipada(Canceled),Noto,Kumudabahali,2
Karanajia,Kerkera,Sarangagarh,41
Karanajia,Kuliposhi,Sunaposhi,6
Karanajia,Kuliposi,Singda,7
Karanajia,Mirigenendi,Mirigenendi,2
Karanajia,Patbil,Baliposi,2
Karanajia,Patbil,Kendumundi,2
Karanajia,Rasamtala,Kadambeda,3
Karanjia,Badadeuli,Badadeuli,13
Karanjia,Badadeuli,Bhanra,48
Karanjia,Badadeuli,Chauthia,54
Karanjia,Badadeuli,Jadumuria,6
Karanjia,Badadeuli,Jhadumuria,184
Karanjia,Badagan,Ananta Sahi,10
Karanjia,Badagaon,Batagoudgoan,32
Karanjia,Baddeuli,Baddeuli,1
Karanjia,Badeuli,Badeuli,10
Karanjia,Badeuli,Sandeuli,5
Karanjia,Badeuli,Saradha,3
Karanjia,Badeuli,Sarashposi,11
Karanjia,Badgan,Saradha,49
Karanjia,Badgaon,Anantasahi,48
Karanjia,Badgaon,Batatainsira,15
Karanjia,Badgaon,Kardia,36
Karanjia,Badgaon,Khandiadar,75
Karanjia,Badgaon,Nuagaon,35
Karanjia,Badgaon,Raitalia,6
Karanjia,Badgaon,Tulasibani,1
Karanjia,Badgaon,Tulasiposi,48
Karanjia,Bala,Bala,13
Karanjia,Bala,Sanbadposi,31
Karanjia,Bhadubeda,Bhadubeda,8
Karanjia,Chitraposi,Asanbani,58
Karanjia,Chitraposi,Chitraposi,30
Karanjia,Chitraposi,Dhakata,66
Karanjia,Chitraposi,Ghosda,30
Karanjia,Chitraposi,Halpur,32
Karanjia,Chitraposi,Mahadevdeuli,42
Karanjia,Chitraposi,Murgapat,57
Karanjia,Chitraposi,Thianali,20
Karanjia,Dori,Dhalabani,16
Karanjia,Dori,Dori,13
Karanjia,Dori,Jarali,4
Karanjia,Dori,Madrangajodi,28
Karanjia,Dori,Mata,61
Karanjia,Dori,Tinitia,8
Karanjia,Dori,Tulashiposi,17
Karanjia,Dudhiani,Burudihi,42
Karanjia,Dudhiani,Pahadpur,21
Karanjia,Dudhiani,Ramajodi,8
Karanjia,Dudhiani,Ramjodi,24
Karanjia,Dudhiani,Ranibhol,11
Karanjia,Dudhiani,Sanram chandrapur,3
Karanjia,Dudhiani,Sanramachandrapur,39
Karanjia,Dudhiani,Sanramchandrapur,42
Karanjia,Kendujuani,Asanbani,3
Karanjia,Kerkera,Andharjhuri,11
Karanjia,Kerkera,Badasarai,37
Karanjia,Kerkera,Badsorei,23
Karanjia,Kerkera,Chouthia,3
Karanjia,Kerkera,Dumbi Sahi,14
Karanjia,Kerkera,Dumbisahi,19
Karanjia,Kerkera,Jhalkiani,15
Karanjia,Kerkera,Kerkera,6
Karanjia,Kerkera,Neduapal,21
Karanjia,Kerkera,Pahadbhanga,27
Karanjia,Kerkera,Ramchandrapur,46
Karanjia,Kerkera,Sarangad,8
Karanjia,Kerkera,Sarangagarh,53
Karanjia,Kerkera,Satkiari,3
Karanjia,Kerkera,Satkiari (Sarangad),1
Karanjia,Kujiposhi,Sunaposhi,1
Karanjia,Kuliposi,Chaturisahi,17
Karanjia,Kuliposi,Cheliaposi,23
Karanjia,Kuliposi,Gopalpur,6
Karanjia,Kuliposi,Hatisalbeda,22
Karanjia,Kuliposi,Jarasahi,11
Karanjia,Kuliposi,Kadadiha,8
Karanjia,Kuliposi,Kuliposi,1
Karanjia,Kuliposi,Kusapada,2
Karanjia,Kuliposi,Miludihi,18
Karanjia,Kuliposi,Padheidhuda,10
Karanjia,Kuliposi,Paudia,6
Karanjia,Kuliposi,Sudiam,12
Karanjia,Kuliposi,Sunaposi,25
Karanjia,Kuliposi,Tikasil,11
Karanjia,Mata,Purunadeungaon,32
Karanjia,Miludihi,Miludihi,22
Karanjia,Mirginandi,Khadikudar,12
Karanjia,Miriginendi,Gudidiha,31
Karanjia,Miriginendi,Hatibari,22
Karanjia,Miriginendi,Jhmukakudar,10
Karanjia,Miriginendi,Jhumkakudar,58
Karanjia,Miriginendi,Jhumukakudar,11
Karanjia,Miriginendi,Khadikudar,1
Karanjia,Miriginendi,Mirigienedi,9
Karanjia,Miriginendi,Miriginendi,30
Karanjia,Miriginendi,Panaspal,2
Karanjia,Miriginendi,Patulidihi,13
